Date,Time,Match,Stars,Odds,HTHG,HTAG,FTHG,FTAG
01/01/2020,13:30,Al Ittihad - Arab Contractors,,3.1,0,0,0,1
01/01/2020,16:00,Huddersfield - Stoke,,3.1,0,1,2,5
01/01/2020,18:15,West Brom - Leeds,,3.5,1,0,1,1
02/01/2020,13:30,Haras El Hodood - Pyramids,,3.5,1,0,1,0
02/01/2020,16:00,El Masry - Smouha,,3,0,1,2,1
02/01/2020,19:00,Olympique de Safi - Hassania Agadir,,2.8,1,0,2,0
02/01/2020,20:45,Derby - Barnsley,,3.6,1,0,2,1
03/01/2020,12:15,Agudat Sport Ashdod - Shimshon Kafr Qasim,,3.2,1,0,3,0
03/01/2020,14:00,Hap. Ramat Gan - Hapoel Katamon,,3.2,2,0,3,0
03/01/2020,18:30,Wadi Degla - El Gaish,,2.9,1,1,1,3
04/01/2020,13:00,Mathare Utd. - Kenya CB,,3,1,0,1,1
04/01/2020,16:00,Macclesfield - Cambridge Utd,,3.3,1,0,1,0
04/01/2020,18:00,Lleida - Castellon,,2.8,1,0,1,0
04/01/2020,20:00,Elche - Huesca,,3.05,0,0,1,1
05/01/2020,12:00,Ebro - La Nucia,,2.9,2,0,2,1
05/01/2020,14:30,Cape Town City - Baroka,,3.5,0,0,1,0
05/01/2020,16:00,Tanta - Zamalek,,3.2,1,1,2,3
05/01/2020,19:00,Youssoufia Berrechid - Hassania Agadir,,2.8,1,1,3,1
05/01/2020,21:00,R. Oviedo - Malaga,,2.9,1,0,1,1
06/01/2020,15:00,Odisha - Chennaiyin,,3.5,2,0,2,0
06/01/2020,18:00,Sakhnin - Maccabi Petah Tikva,,3.5,0,1,2,1
06/01/2020,20:45,Napoli - Inter,,3.5,1,2,1,3
07/01/2020,13:05,Al Jeel - Al Qadisiya,,3.1,0,0,2,2
07/01/2020,16:00,El-Entag El-Harby - El Masry,,2.9,1,0,1,1
07/01/2020,18:30,Stellenbosch - Bloem Celtic,,3,1,0,1,2
07/01/2020,20:45,Doncaster - Shrewsbury,,3.2,1,0,2,0
08/01/2020,14:15,Posta Rangers - Leopards,,2.9,0,0,2,1
08/01/2020,16:00,Smouha - Wadi Degla,,3.1,1,1,2,3
