Date,Time,Match,Stars,Odds,HTHG,HTAG,FTHG,FTAG
01/01/2021,14:00,M. Nazareth - MS Kafr Qasim,,3.18,0,1,0,1
01/01/2021,18:30,Sheffield Wed - Derby,,3.25,0,0,1,0
02/01/2021,14:00,Fuenlabrada - Leganes,,2.91,0,0,0,0
02/01/2021,16:00,Millwall - Coventry,,3.1,0,2,1,2
02/01/2021,18:15,Logrones - Mirandes,,2.88,1,1,2,1
02/01/2021,21:00,Vila Nova FC - Brusque,,3.07,0,1,0,3
03/01/2021,01:00,CA Mitre - Barracas Central,,3.03,1,0,1,1
03/01/2021,12:00,Tudelano - SD Logrones,,3.06,1,0,1,1
03/01/2021,14:00,Castellon - Tenerife,,2.86,0,0,0,1
03/01/2021,15:45,Cadiz CF B - Sanluqueno,,2.83,0,0,1,2
03/01/2021,18:30,Misr Lel Makkasa - El Ismaily,,2.79,1,1,3,1
03/01/2021,21:10,Dep. Riestra - San Martin T.,,3,0,0,0,0
04/01/2021,16:15,Volos - Atromitos,,2.99,1,0,1,0
04/01/2021,18:00,Hapoel Afula - H. Raanana,,2.77,1,0,1,0
04/01/2021,21:10,Aldosivi - Union de Santa Fe,,3.26,0,1,1,3
04/01/2021,23:00,Instituto - Quilmes,,2.9,0,1,2,1
05/01/2021,12:30,Zob Ahan - Tractor,,2.77,0,1,1,2
05/01/2021,16:00,Stellenbosch - Tshakhuma,,2.68,0,0,2,0
05/01/2021,20:00,Guingamp - Amiens,,2.98,2,1,2,2
05/01/2021,23:15,Guarani - Ponte Preta,,3.04,0,1,1,1
06/01/2021,12:00,Prat - Andorra,,2.59,0,0,1,0
06/01/2021,16:00,Vitoria Sernache - Sertanense,,3.04,1,0,2,1
06/01/2021,19:45,Hapoel Hadera - Beitar Jerusalem,,3.15,0,3,0,4
06/01/2021,23:10,Temperley - Dep. Riestra,,2.81,0,0,0,0
07/01/2021,16:00,Al Ittihad - El Masry,,2.7,0,1,1,1
07/01/2021,18:15,H. Raanana - H. Ironi Rishon,,2.93,1,0,2,2
08/01/2021,01:00,Atletico GO - Vasco,,3.09,0,0,0,0
08/01/2021,14:30,Constantine - Mlila,,2.98,0,0,0,1
08/01/2021,16:00,Wadi Degla - Enppi,,2.65,0,0,1,2
08/01/2021,18:00,Concarneau - Orleans,,2.76,1,1,1,3
08/01/2021,20:00,Laval - Creteil,,2.89,0,2,1,2
09/01/2021,01:30,Sampaio Correa - Cruzeiro,,3.02,0,1,0,1
09/01/2021,14:00,Bizertin - Club Africain,,2.84,1,1,1,1
09/01/2021,16:00,Ghazl El Mahallah - El Gouna,,2.7,0,0,0,0
09/01/2021,18:15,Malaga - R. Oviedo,,2.86,1,0,1,1
09/01/2021,22:00,Cipolletti - Sportivo Estudiantes,,2.88,0,0,0,0
10/01/2021,01:30,Argentinos Jrs - Boca Juniors,,3.28,1,1,2,2
10/01/2021,12:00,Prat - Llagostera,,2.73,0,1,0,1
10/01/2021,14:00,Zwickau - Lubeck,,3.19,0,1,2,1
10/01/2021,16:15,Cadiz CF - Alaves,,2.93,1,1,3,1
10/01/2021,21:10,Ind. Rivadavia - CA Mitre,,3.03,0,1,0,1
11/01/2021,00:30,Vasco - Botafogo RJ,,3.19,1,0,3,0
11/01/2021,19:00,Elche - Getafe,,2.92,1,1,1,3
11/01/2021,21:30,Sabadell - Lugo,,2.88,1,0,1,1
12/01/2021,01:10,Gimnasia Jujuy - Santamarina,,3.18,1,0,2,2
12/01/2021,12:00,Naft M.I.S - Shahr Khodrou,,2.5,2,0,3,1
12/01/2021,13:30,Smouha - National Bank Egypt,,2.82,1,0,2,2
12/01/2021,16:30,Olot - Espanyol B,,2.96,0,1,1,1
12/01/2021,21:10,El Porvenir - Leandro N. Alem,,2.96,0,0,0,2
12/01/2021,23:15,"Brasil de Pelotas - Juventude 
",,2.81,2,1,2,1
13/01/2021,16:00,Tshakhuma - Orlando Pirates,,3.08,0,2,0,3
13/01/2021,19:00,Calahorra - Tudelano,,2.84,1,0,1,1
14/01/2021,00:15,Montevideo City - Rentistas,,3.12,1,0,2,1
14/01/2021,14:00,Skikda - Constantine,,2.77,0,0,0,0
14/01/2021,16:00,El Gouna - Al Ittihad,,2.86,1,0,2,0
14/01/2021,18:30,"Aris - AEK Athens FC 
",,2.83,0,0,0,1
15/01/2021,01:10,Colon Santa FE - Cipolletti,,3.84,0,0,1,0
15/01/2021,12:30,Saipa - Zob Ahan,,2.42,0,0,2,1
15/01/2021,18:00,Stade Briochin - Concarneau,,2.78,0,0,0,0
15/01/2021,21:00,L.R. Vicenza - Frosinone,,3.09,0,0,0,0
16/01/2021,14:00,Pordenone - Venezia,,2.95,1,0,2,0
16/01/2021,16:00,"Nottingham - Millwall 
",,3.01,1,0,3,1
16/01/2021,17:30,Laredo - Amorebieta,,2.82,1,1,1,3
16/01/2021,19:00,AC Ajaccio - Caen,,3.11,1,0,1,0
16/01/2021,21:30,Tondela - Boavista,,3.37,1,0,3,1
16/01/2021,23:10,Estudiantes Rio Cuarto - Sarmiento Junin,,2.84,1,1,1,1
17/01/2021,12:30,Jamshedpur - North East Utd,,3.08,0,1,1,2
17/01/2021,15:00,Pro Vercelli - Carrarese,,2.89,3,1,3,1
17/01/2021,16:30,Osasuna B - Tarazona,,2.79,2,1,3,1
17/01/2021,18:30,Betis B - El Ejido,,3.25,0,0,1,0
17/01/2021,21:10,Victoriano A. - Sportivo Italiano,,2.86,0,2,0,2
17/01/2021,23:10,CA Estudiantes - Barracas Central,,3.04,2,1,2,2
18/01/2021,12:00,Tractor - Esteghlal F.C.,,2.53,0,1,1,3
18/01/2021,14:10,Persepolis - Foolad,,2.57,1,0,2,1
18/01/2021,16:00,El Ismaily - Arab Contractors,,2.91,0,1,0,1
18/01/2021,21:15,Portimonense - Belenenses,,2.93,1,0,1,0
19/01/2021,16:00,"Le Havre - Paris FC 
",,2.9,0,1,0,1
19/01/2021,19:00,Mirandes - Rayo Vallecano,,2.91,0,2,0,2
19/01/2021,21:30,Alaves - Sevilla,,3.37,1,2,1,2
20/01/2021,12:30,Zob Ahan - Naft M.I.S,,2.9,0,0,0,0
20/01/2021,15:00,Bisceglie - Casertana,,2.83,0,0,0,1
20/01/2021,21:00,Botafogo RJ - Atletico GO,,3.25,0,0,1,3
21/01/2021,01:40,Petrolera - Pereira,,2.93,0,1,2,2
21/01/2021,15:00,ATK Mohun Bagan - Chennaiyin,,3.03,0,0,1,0
21/01/2021,19:30,CRAC - Vila Nova FC,,2.7,0,0,1,1
21/01/2021,21:10,CA Estudiantes - San Martin S.J.,,2.93,0,1,3,1
22/01/2021,14:30,Relizane - CR Belouizdad,,2.64,0,1,0,1
22/01/2021,16:00,Chindia Targoviste - Academica Clinceni,,2.85,2,0,2,1
22/01/2021,18:30,Laval - Stade Briochin,,2.87,0,0,0,0
22/01/2021,21:00,Entella - Pisa,,3.16,1,1,2,1
23/01/2021,00:00,Barranquilla - Boca Juniors,,2.83,0,1,0,1
23/01/2021,13:30,Ghazl El Mahallah - El Ismaily,,2.92,0,1,2,2
23/01/2021,15:00,Monopoli - Juve Stabia,,3,1,2,4,2
23/01/2021,16:30,Mutilvera - SD Logrones,,2.95,1,0,1,1
23/01/2021,19:00,Le Havre - Guingamp,,3.05,0,0,1,1
23/01/2021,20:30,Malaga - Ponferradina,,2.92,0,1,0,2
23/01/2021,23:35,Envigado - Dep. Pasto,,2.98,0,1,0,1
24/01/2021,12:00,Pena Deportiva - Valencia B,,2.91,0,0,1,1
24/01/2021,14:00,Osasuna - Granada CF,,2.98,2,0,3,1
24/01/2021,17:00,Linares - UCAM Murcia,,2.77,0,0,1,0
24/01/2021,22:15,Atletico GO - Fortaleza,,3.03,1,0,2,0
25/01/2021,00:05,Jaguares de Cordoba - Bucaramanga,,3.05,0,0,2,1
25/01/2021,12:30,Aluminium Arak - Persepolis,,2.85,2,1,2,1
25/01/2021,21:00,Cartagena - Mirandes,,2.97,0,2,0,2
25/01/2021,23:30,Once Caldas - Junior,,3.1,1,0,1,2
26/01/2021,16:00,Arab Contractors - Smouha,,2.71,1,1,1,2
26/01/2021,19:00,Annecy - Bourg en Bresse,,2.77,2,1,2,2
26/01/2021,21:00,Betis - Real Sociedad,,3.77,0,1,1,1
27/01/2021,13:00,Stade Tunisien - Ben Guerdane,,2.56,0,0,0,0
27/01/2021,15:00,Carpi - FeralpiSalo,,2.95,1,2,1,2
27/01/2021,19:00,Mutilvera - Tarazona,,3.1,0,0,2,0
27/01/2021,21:10,General Lamadrid - Dep. Merlo,,2.6,0,1,2,2
28/01/2021,13:30,National Bank Egypt - El Gaish,,2.92,0,1,0,2
28/01/2021,15:00,Hyderabad - Bengaluru,,3.02,0,1,2,2
28/01/2021,21:15,Deportes Tolima - Dep. Pasto,,3.26,0,0,1,1
29/01/2021,12:30,Nassaji Mazandaran - Zob Ahan,,2.6,1,2,2,3
29/01/2021,16:00,AmaZulu - Stellenbosch,,2.92,1,1,2,1
29/01/2021,21:00,L.R. Vicenza - Venezia,,3,0,0,0,0
30/01/2021,01:30,Brasil de Pelotas - Vitoria,,3.56,0,0,0,1
30/01/2021,11:45,Fabril do Barreiro - SC Praiense,,3.04,0,1,0,1
30/01/2021,14:00,Entella - Cosenza,,3.08,1,0,1,2
30/01/2021,16:00,Alcains - Condeixa,,3.13,0,1,1,1
30/01/2021,18:00,L Hospitalet - Llagostera,,2.91,0,1,2,2
30/01/2021,20:00,Patriotas - Chico,,2.98,1,1,1,1
31/01/2021,12:00,Levante B - Pena Deportiva,,2.85,0,0,0,0
31/01/2021,14:00,Getafe - Alaves,,3.05,0,0,0,0
31/01/2021,16:30,Navalcarnero - Getafe B,,2.9,0,0,0,0
31/01/2021,19:30,Leones - Tigres,,3.1,0,1,1,2
01/02/2021,00:30,Dock Sud - Dep Merlo,,2.9,0,1,1,2
01/02/2021,15:00,Odisha - Jamshedpur,,3.2,0,1,0,1
01/02/2021,18:00,Santa Clara - Belenenses,,3.02,1,0,2,0
01/02/2021,21:00,Sabadell - Logrones,,2.91,0,0,0,0
02/02/2021,13:30,Aswan SC - Ceramica Cleopatra,,2.98,1,0,1,1
02/02/2021,15:00,East Bengal - Bengaluru,,3.07,0,2,0,2
02/02/2021,17:30,Foggia - Teramo,,2.82,0,0,0,0
02/02/2021,20:00,Le Havre - Nancy,,2.81,0,0,1,1
03/02/2021,11:30,"Pro Patria - Olbia 
",,2.92,0,0,1,0
03/02/2021,14:00,Vibonese - Virtus Francavilla,,2.9,0,1,1,2
03/02/2021,16:30,Livorno - Piacenza,,2.88,0,0,0,1
03/02/2021,18:45,SD Logrones - Haro Deportivo,,3.06,0,0,1,1
03/02/2021,23:05,Petrolera - Aguilas,,2.95,0,1,1,2
04/02/2021,12:30,Tractor - Persepolis,,2.71,0,0,0,1
04/02/2021,16:30,Chindia Targoviste - FC Botosani,,2.98,2,2,2,3
04/02/2021,21:00,Betis - Ath Bilbao,,3.24,0,0,1,1
05/02/2021,02:00,Ind. Medellin - Millonarios,,2.96,0,0,0,0
05/02/2021,12:30,Aluminium Arak - Saipa,,2.81,0,0,1,1
05/02/2021,15:00,Bengaluru - Chennaiyin,,3.1,0,0,0,0
05/02/2021,21:00,Alaves - Valladolid,,3.13,0,0,1,0
06/02/2021,01:00,"U. Magdalena - Orsomarso 
",,3.12,1,0,1,1
06/02/2021,14:00,Frosinone - Venezia,,2.93,0,1,1,2
06/02/2021,18:00,Pordenone - L.R. Vicenza,,3.11,0,1,1,2
06/02/2021,21:15,Once Caldas - Envigado,,3.15,2,1,3,1
07/02/2021,12:00,La Nucia - Levante B,,2.72,1,0,2,1
07/02/2021,15:00,Hyderabad - North East Utd,,3.2,0,0,0,0
07/02/2021,17:00,"SC Praiense - CD Rabo Peixe 
",,3.03,0,0,2,1
07/02/2021,18:30,Osasuna - Eibar,,3.03,1,1,2,1
07/02/2021,21:00,Reggiana - Entella,,3.05,0,0,2,1
08/02/2021,00:05,Patriotas - Dep. Cali,,3.29,0,1,0,1
08/02/2021,16:00,"CD Cova da Piedade - Covilha 
",,2.94,0,0,1,0
08/02/2021,18:45,Hapoel Jerusalem - Nof Hagalil,,2.5,2,0,2,1
08/02/2021,22:00,Belenenses - Vitoria Guimaraes,,3.07,1,1,1,1
09/02/2021,02:00,Bucaramanga - La Equidad,,3.07,0,0,0,0
09/02/2021,14:30,TRAU FC - Aizawl,,2.88,1,0,1,0
09/02/2021,18:00,Sporting Club Lyon - Laval,,2.8,1,0,1,1
09/02/2021,21:00,Ascoli - Frosinone,,3.02,0,0,1,1
10/02/2021,01:40,Aguilas - Dep. Pasto,,2.91,0,1,1,1
10/02/2021,12:00,Internacional de Madrid - Baleares,,2.95,1,0,2,0
10/02/2021,15:00,"Chennaiyin - Jamshedpur 
",,3.32,0,0,0,1
10/02/2021,17:00,Ejea - Tudelano,,2.68,0,0,1,2
10/02/2021,19:30,Cornella - Prat,,3.29,0,1,0,1
10/02/2021,21:00,Sevilla - Barcelona,,3.74,1,0,2,0
11/02/2021,13:30,Ghazl El Mahallah - Ceramica Cleopatra,,2.83,0,1,0,2
11/02/2021,22:00,Boca Juniors - U. Magdalena,,2.85,0,0,0,1
12/02/2021,02:00,Ind. Medellin - Deportes Tolima,,2.83,1,0,1,1
12/02/2021,14:00,Hapoel Afula - H. Akko,,2.8,0,0,0,0
12/02/2021,19:00,FC Arges - Viitorul Constanta,,3.03,0,0,1,0
12/02/2021,22:00,Pereira - Patriotas,,3.21,0,1,1,2
13/02/2021,01:30,Central Cordoba - Colon Santa FE,,2.93,0,1,0,3
13/02/2021,12:00,Sacavenense - Loures,,2.81,1,1,1,1
